Unnamed: 0,query,gpt-3.5-turbo,gemini-2.0-flash-lite
10,"Consider this post: ""Like I just want to cry all the time because of how I look. Why would anyone think that I'm pretty or attractive?"" Question: Does the spiritual wellness dimension exist in the post?",No,No
11,"Consider this post: ""Like I just want to cry all the time because of how I look. Why would anyone think that I'm pretty or attractive?"" Question: Does the emotional wellness dimension exist in the post?",Yes,Yes
12,"Consider this post: ""I have a family of 75+ people on my mom's side, and I'm the only gay person. I'm also adopted, but I feel like I've never felt like I fit in in the family. I feel like the odd one out, the outcast, the black sheep. Whenever I talk to cousins or other family members, I don't feel like I belong. Also, I'm the only gay person, which I know my very Catholic family won't like when my partner and I get married. I feel like that'll just make things worse and that they'll shun me from the family. My parents are very conservative, however my brother and I are very close. He isn't adopted, he's my adoptive parents own kid. He's 28, and I'm 22. We like the same things, many of his friends are my friends, and we just get along so well! He's also non-religious, and has said that he will come to my wedding despite what my parents think or say. I'm also non-religious, I don't believe in any gods. Is there anything I can do to help alleviate these feelings?"" Question: Does the social wellness dimension exist in the post?",Yes,Yes
13,"Consider this post: ""Does anybody know how I can stop living in the past?! How I can stop wishing my life away because of stupid decisions I____e made. I can____ keep going on like this. It____ destroying me in so many ways."" Question: Does the physical wellness dimension exist in the post?",No,No
14,"Consider this post: ""Does anybody know how I can stop living in the past?! How I can stop wishing my life away because of stupid decisions I____e made. I can____ keep going on like this. It____ destroying me in so many ways."" Question: Does the vocational wellness dimension exist in the post?",No,No
15,"Consider this post: ""These were the first people that acknowledged me and understood how I felt. I was able to share my pain and feelings with them. I felt like I finally found those special people in my depressing life and now i will probably never see them again 铮棵济猜_？眉貌垄铮棵济猜"" Question: Does the social wellness dimension exist in the post?",Yes,Yes
16,"Consider this post: ""These were the first people that acknowledged me and understood how I felt. I was able to share my pain and feelings with them. I felt like I finally found those special people in my depressing life and now i will probably never see them again 铮棵济猜_？眉貌垄铮棵济猜"" Question: Does the emotional wellness dimension exist in the post?",Yes,Yes
17,"Consider this post: ""My parents were always coercive, and I was timid. It was too much for me to compete in a private high school, but my parents forced me to. I was forced to do it. And I entered medical school as my parents wanted. But I hate life that I regret every day by taking classes that I don't even want. But I don't have what I like and what I'm good at anymore. I want to get away from the life I've lived with as a puppet."" Question: Does the spiritual wellness dimension exist in the post?",No,No
18,"Consider this post: ""My parents were always coercive, and I was timid. It was too much for me to compete in a private high school, but my parents forced me to. I was forced to do it. And I entered medical school as my parents wanted. But I hate life that I regret every day by taking classes that I don't even want. But I don't have what I like and what I'm good at anymore. I want to get away from the life I've lived with as a puppet."" Question: Does the intellectual wellness dimension exist in the post?",Yes,No
19,"Consider this post: ""I am 28, no friends, no close relatives, no girl, no skills, still living with parents and my brother, no dreams, no nothing, not a single will to live. Last January I almost drowned swimming in the ocean and while drowning, I realized it____ okay it____ gonna be over but I was rescued. So I tried to live these months to see if I can. But I do not if I can anymore. I need to stop pretending that it____ all gonna be ok. Yeah. So I have no future really. Why live."" Question: Does the vocational wellness dimension exist in the post?",No,No
20,"Consider this post: ""I did something really stupid cause i panicked and swerved into another car. I____e had nightmares of this scenario happening. Why can____ I do anything right? I hate existing so much. I hate myself. I hate how useless I am. I hate how anxious I get. I hate how i get easily distracted by my own thoughts. I hate how I caused unecessary financial issues. Im just glad no one was hurt."" Question: Does the spiritual wellness dimension exist in the post?",No,No
21,"Consider this post: ""I did something really stupid cause i panicked and swerved into another car. I____e had nightmares of this scenario happening. Why can____ I do anything right? I hate existing so much. I hate myself. I hate how useless I am. I hate how anxious I get. I hate how i get easily distracted by my own thoughts. I hate how I caused unecessary financial issues. Im just glad no one was hurt."" Question: Does the vocational wellness dimension exist in the post?",Yes,No
22,"Consider this post: ""Barely anything in my life is good. Brothers getting locked up, drug abuse, addictions, alcoholism, attempted suicide and self harm, and so much more things that affect me daily as much as I try and push it back Then directly involving me, moving across the country all my life so I____e never had friends, bullied, depression, suicidal thoughts and so many more things I don____ wanna get into all my problems and shit but life has been so unfair and I know other people have problems, and I always think ____ell at least they aren____ dead___ because some of my friends have lost parents and siblings but maybe what I have is worse because I still see them but I don____ see themselves anymore because they aren____ and never will be the same."" Question: Does the vocational wellness dimension exist in the post?",No,No
23,"Consider this post: ""College has been the worst experience for me. I started out at a community college and then transferred to a small city college in my town that I commute to. First of all, I hated both schools generally. I had always wanted to go off to college but couldn't afford it. Anyway, I have taken only a couple classes each semester because my depression started almost immediately when I first began school. Now it's two years later, I have nothing but general courses, I thought I'd try computer science and hated it...So I'm back where I started. And everyone I went to high school with are graduating now which makes me feel so much worse. I still don't even know what I want to major in. And I really don't want to stay here for two or three more years to finish a degree. Can anyone relate?"" Question: Does the physical wellness dimension exist in the post?",No,No
24,"Consider this post: ""College has been the worst experience for me. I started out at a community college and then transferred to a small city college in my town that I commute to. First of all, I hated both schools generally. I had always wanted to go off to college but couldn't afford it. Anyway, I have taken only a couple classes each semester because my depression started almost immediately when I first began school. Now it's two years later, I have nothing but general courses, I thought I'd try computer science and hated it...So I'm back where I started. And everyone I went to high school with are graduating now which makes me feel so much worse. I still don't even know what I want to major in. And I really don't want to stay here for two or three more years to finish a degree. Can anyone relate?"" Question: Does the intellectual wellness dimension exist in the post?",Yes,Yes
25,"Consider this post: ""College has been the worst experience for me. I started out at a community college and then transferred to a small city college in my town that I commute to. First of all, I hated both schools generally. I had always wanted to go off to college but couldn't afford it. Anyway, I have taken only a couple classes each semester because my depression started almost immediately when I first began school. Now it's two years later, I have nothing but general courses, I thought I'd try computer science and hated it...So I'm back where I started. And everyone I went to high school with are graduating now which makes me feel so much worse. I still don't even know what I want to major in. And I really don't want to stay here for two or three more years to finish a degree. Can anyone relate?"" Question: Does the vocational wellness dimension exist in the post?",Yes,Yes
26,"Consider this post: ""You ruined me, I loved you and I can____ love anyone anymore. You____e absolutely fucking ruined my life. I____ successful, people love me, I help people every day, BUT I CANT HELP MYSELF AND IM SICK OF IT. I____ giving up, I don____ care anymore because you don____. I fucking love you, please take me back"" Question: Does the intellectual wellness dimension exist in the post?",No,No
27,"Consider this post: ""You ruined me, I loved you and I can____ love anyone anymore. You____e absolutely fucking ruined my life. I____ successful, people love me, I help people every day, BUT I CANT HELP MYSELF AND IM SICK OF IT. I____ giving up, I don____ care anymore because you don____. I fucking love you, please take me back"" Question: Does the social wellness dimension exist in the post?",Yes,Yes
28,"Consider this post: ""When I stay up late, I kinda freak out. I get stressed anxious and sad at the same time. It really freaking sucks. I've been going to sleep at around 6-6:30 so I don't have to eat as much at dinner and I can fall asleep before my brain goes sicko mode and wander down a dark path of self hate and anxious thoughts. Today I stayed at dinner until 7:10 so yeah..."" Question: Does the spiritual wellness dimension exist in the post?",No,No
29,"Consider this post: ""When I stay up late, I kinda freak out. I get stressed anxious and sad at the same time. It really freaking sucks. I've been going to sleep at around 6-6:30 so I don't have to eat as much at dinner and I can fall asleep before my brain goes sicko mode and wander down a dark path of self hate and anxious thoughts. Today I stayed at dinner until 7:10 so yeah..."" Question: Does the emotional wellness dimension exist in the post?",Yes,Yes
30,"Consider this post: ""I'm supposed to study for a French test, but I can't concentrate for shit. I'm not smart when I'm not having one of those stupid episodes, but at least I somewhat understand what I have to memorize."" Question: Does the intellectual wellness dimension exist in the post?",Yes,Yes
31,"Consider this post: ""I'm supposed to study for a French test, but I can't concentrate for shit. I'm not smart when I'm not having one of those stupid episodes, but at least I somewhat understand what I have to memorize."" Question: Does the social wellness dimension exist in the post?",No,No
32,"Consider this post: ""I posted before on here about how I'm depressed, a worthless piece of shit and how I tried to hang myself. The driving urge to kill myself faded into a dull ache for a few days and now I'm even more depressed. They say you'll regret suicide but I wish I had the guts to do it sooner. If you could get guns in the UK I'd be gone already &amp;#x200B; Downvoted already. I know noone cares about me but jesus christ"" Question: Does the spiritual wellness dimension exist in the post?",No,No
33,"Consider this post: ""i'm a foreveralone with suicidal depression. i need to be held, by fucking anyone at this point. i don't have the money for a prostitute otherwise thats what i'd do. i posted a craigslist ad but im a random 32 year old man and no one's gonna be sympathetic probably. i need to be touched. i don't know what to do. i cannot leave the house, i cannot and do not care anymore to develop social skills to find a woman, nor would any woman want to date an unemployed balding 5'6"" suicidal depression sufferer on disability. i am at a breaking point to be completely honest. what do i do. i want to be held and stroked and comforted physically. i swear to god i am not looking for sex. i don't have my dog with me anymore. my family won't let me live with them."" Question: Does the vocational wellness dimension exist in the post?",Yes,Yes
34,"Consider this post: ""i'm a foreveralone with suicidal depression. i need to be held, by fucking anyone at this point. i don't have the money for a prostitute otherwise thats what i'd do. i posted a craigslist ad but im a random 32 year old man and no one's gonna be sympathetic probably. i need to be touched. i don't know what to do. i cannot leave the house, i cannot and do not care anymore to develop social skills to find a woman, nor would any woman want to date an unemployed balding 5'6"" suicidal depression sufferer on disability. i am at a breaking point to be completely honest. what do i do. i want to be held and stroked and comforted physically. i swear to god i am not looking for sex. i don't have my dog with me anymore. my family won't let me live with them."" Question: Does the emotional wellness dimension exist in the post?",Yes,Yes
